dim,seed,model,nleaps,sampler,ess,ess_exact,n_leapfrog,msjd,margin1_mean,margin1_var,KS,ks_pval,mala
1.0,17,funnel_scale,1,NUTS,1762.2387831886424,338.90568858011744,45442815,7.992803055949744e6,5.120963974542618,1.711861738264203,887.5393234621789,0.0,false
1.8,3,funnel_scale,1,AH_fix,1540.1454719367507,1786.9610556624232,8.7360432e7,472482.9169245728,-0.35761133484447816,7.56475888568105,94.5012910009352,0.0,false
2.4,14,funnel_scale,1,AH_fix,1883.0624245814085,2679.262913428751,8.4950592e7,2.457269562042698e7,0.8711905446779924,4.931130359645413,177.76945092113334,0.0,false
3.0,7,funnel_scale,1,AH_exp,1777.1737551946542,3860.919405334492,6.896873e7,2.5162255922074255e7,0.6062207468813638,3.5054981527781535,201.80000024378057,0.0,false
3.4,17,funnel_scale,1,AM,1684.6927253565434,5640.19508060352,3.897396e7,15928.54510699549,0.5542371773465822,2.183366172605145,263.77087370969554,0.0,false
2.8,7,funnel_scale,1,AM,1983.109279909442,4017.964858815905,4.437647e7,7.054888276230098e6,0.7176912979565284,3.4454900243195534,219.27278446442915,0.0,false
1.6,17,funnel_scale,1,AH_fix,2396.8665185954255,3456.0382791102843,6.3874288e7,8463.015022266425,0.4990685868154576,5.659338292023266,99.9434182530112,0.0,false
2.6,14,funnel_scale,1,AH_unif,1734.5985166663584,2510.1694995646844,7.5648236e7,7.094403623616288e9,0.837664973250192,5.031799273073973,181.21961066658548,0.0,false
1.2,20,funnel_scale,1,AH_fix,2036.7482515644422,2185.8746404870367,5.7455004e7,454.90595416504794,0.12545406649414098,8.354719125228193,31.99173541461122,0.0,false
0.8,15,funnel_scale,1,AH_unif,4920.68395370295,5379.507731305946,4.3138494e7,166.92484712971964,0.17551112237230743,8.084498583778466,24.535306587112828,0.0,false
0.4,3,funnel_scale,1,AH_exp,25340.114294408886,25561.719480177657,2.6240258e7,5.589830293002658,-0.011013919187714757,8.918977223861695,2.268499611236848,6.779420817573203e-5,false
2.6,12,funnel_scale,1,AH_unif,1889.4815740023623,3257.7893958021896,6.582353e7,3.4555338860966703e6,0.8272881332160588,3.9582614729179992,205.18394836447922,0.0,false
1.2,13,funnel_scale,1,AM,2854.4469277871863,3804.6270846999,3.8584012e7,3060.292181253616,0.3124272702958939,6.480487276898633,65.89866797372014,0.0,false
4.0,15,funnel_scale,1,AH_unif,1483.359455931963,3406.814186508362,6.9434916e7,9.032656067129974e7,0.9075183831077176,2.7267996239901393,276.14516039785326,0.0,false
0.6,13,funnel_scale,1,NUTS,2126.613039170445,2115.6224212547236,18038336,160.36209297552736,1.4256133955645653,4.830088114554018,258.86600598941527,0.0,false
1.0,15,funnel_scale,1,AM,2369.00587007329,2655.673962707152,3.132822e7,76.9260781941467,0.37684488240877545,7.700270546577503,45.86863233112928,0.0,false
4.0,10,funnel_scale,1,AH_unif,1739.3327869196917,3962.9549234067304,7.8718752e7,1.88370683709092e10,0.9102948253176955,2.543965627676808,285.46370041203124,0.0,false
3.0,11,funnel_scale,1,AH_fix,1183.2287796333171,1557.4287090341475,1.25828436e8,3.2114932040254343e6,-1.5111782276837151,4.201391629818634,426.57497827557205,0.0,false
